Kabupaten/Kota;BPR/S;LKM/S;Pegadaian;Bank;ATM;RS Umum;RS Swasta/Khusus;Puskesmas;Poliklinik (Klinik Pratama);Posyandu/Polindes;TK;KB;TPA;SPS;PKBM;SKB;SD;SMP;SMA;SMK;SLB;Akademi;Politeknik;Sekolah Tinggi;Institut;Universitas;Jumlah Guru TK;Jumlah Guru KB;Jumlah Guru TPA;Jumlah Guru SPS;Jumlah Guru PKBM;Jumlah Guru SKB;Jumlah Guru SD;Jumlah Guru SMP;Jumlah Guru SMA;Jumlah Guru SMK;Jumlah Guru SLB;Pserta Didik TK;Pserta Didik KB;Pserta Didik TPA;Pserta Didik SPS;Pserta Didik PKBM;Pserta Didik SKB;Pserta Didik SD;Pserta Didik SMP;Pserta Didik SMA;Pserta Didik SMK;Pserta Didik SLB;Jumlah Penduduk;Kepadatan Penduduk;PDRB per Kapita;Tenaga Medis Dokter;Tenaga Medis Perawat;Tenaga Medis Bidan;Tenaga Medis Tenaga Kefarmasian;Tenaga Medis Tenaga Gizi;analisis proximity (jarak) ;Kepadatan Fasilitas Luas Wilayah Km2;Kepadatan Fasilitas Keuangan;Kepadatan Fasilitas Kesehatan;Kepadatan Fasilitas Pendidikan
Padangsidimpuan;6;58;2;84;54;4;0;10;63;144;48;32;9;1;7;1;97;26;19;17;2;5;0;10;3;3;188;48;16;2;18;20;1,558;621;524;505;23;1,93;589;207;22;411;500;21,961;9,171;7,095;6,353;146;99,1;214;2.531,58;15;156;244;13;7;157,42;75,92;204;221;280
Pakpak Bharat;5;10;2;8;5;1;0;8;3;91;7;60;1;1;5;1;59;28;5;4;1;0;0;0;0;0;29;109;2;2;18;2;585;355;137;95;13;380;1,232;18;20;499;110;5,708;2,861;2,234;487;24;397,2;157;9.128,45;45;818;914;37;19;140,36;1850,04;30;103;172
Pematangsiantar;18;108;16;94;116;7;1;19;125;250;45;81;2;2;7;1;114;42;26;33;2;10;2;10;0;2;191;111;2;11;29;11;1,591;1,07;823;757;31;2,521;2,031;27;78;566;132;24,569;15,869;15,149;10,676;237;161,4;130;4.790,41;22;250;295;10;24;130,24;11,47;352;402;379
Samosir;4;12;0;104;27;1;0;12;24;229;18;118;5;0;3;0;195;34;14;5;0;0;0;0;0;0;70;199;10;0;0;0;1,471;558;345;135;0;936;2,054;86;0;74;0;16,515;9,424;6,079;2,055;0;285,7;73;18.330,40;74;247;687;30;5;119,63;1949,18;147;266;392
Serdang Bedagai;6;18;10;120;117;6;0;20;111;815;229;151;3;38;20;1;448;97;41;37;2;0;0;1;0;0;537;311;3;40;71;6;3,958;1,501;758;676;22;6,068;3,229;73;650;6,416;159;61,954;23,978;13,476;11,082;142;285,7;72;17.831,27;59;253;725;19;20;152,52;4601,48;271;952;1068
Sibolga;11;66;1;59;30;3;0;5;40;94;20;40;0;1;1;1;36;16;9;8;1;2;0;4;0;0;73;100;0;1;3;5;597;354;243;234;15;1,037;1,307;0;41;47;270;9,247;4,777;4,167;3,291;65;57,2;42;1.718,75;35;170;133;21;14;135,15;60,07;167;142;139
Simalungun;13;12;22;120;117;7;0;46;60;1335;173;322;0;5;10;1;744;160;46;48;3;0;0;4;0;1;356;515;0;10;21;6;6,42;2,287;1,111;840;23;5,172;7,169;0;99;367;11;83,773;35,333;19,684;13,294;130;144,8;78;6.100,41;59;199;286;24;23;123,20;72460,74;284;1448;1517
Tanjungbalai;8;25;2;51;18;2;0;8;55;119;26;54;1;0;13;0;81;22;12;9;1;1;1;4;0;0;84;147;0;0;61;0;868;466;324;177;11;1,051;1,313;0;0;1,1;0;15,19;7,402;5,802;2,192;111;700,1;359;42.012,01;243;270;449;31;33;162,54;39,17;104;184;225
Tapanuli Selatan;1;84;3;84;77;1;0;16;16;535;164;32;0;0;6;1;288;51;12;14;1;0;0;1;0;0;555;76;0;0;22;10;2,942;960;326;440;19;6,272;1,073;0;0;1,523;145;35,639;9,867;4,815;4,535;73;1.067,50;232;58.906,11;215;688;1.314;44;53;156,01;4201,04;249;568;570
Tapanuli Tengah;0;28;5;112;55;1;0;25;33;385;43;173;1;9;9;1;323;84;25;20;1;1;0;5;0;0;119;333;5;16;7;8;2,943;1,273;667;404;6;1,446;3,467;93;167;144;175;34,821;17,128;10,61;5,527;35;320,30;76;21.276,31;61;175;350;4;4;130,54;2307,68;200;444;695
